NOMBRE,TELEFONO,EMAIL,DIRECCION,TIPO DE ESTABLECIMIENTO,LOACION,PROMEDIO DE GANANCIAS POR DIA,PROMEDIA DE CLIENTES POR DIA
sayonara no. 2 circunvalar,n/a,n/a,n/a,restaurante,pereira,934634,152
sayonara n. 6 arboleda,n/a,n/a,n/a,restaurante,pereira,840603,157
sayonara no. 4 pereira plaza,n/a,n/a,n/a,restaurante,pereira,1166681,241
frisby g90,n/a,n/a,n/a,restaurante,pereira,1089437,214
sayonara no. 3 victoria,n/a,n/a,n/a,restaurante,pereira,1125369,577
la bodega bbc arboleda,n/a,n/a,n/a,bar y restaurante,pereira,938159,141
crepes y waffles victoria,n/a,n/a,n/a,restaurante,pereira,1089352,108
crepes y waffles arboleda,n/a,n/a,n/a,restaurante,pereira,839849,568
pasteleria lucerna unicentro,n/a,n/a,n/a,restaurante,pereira,953018,487
frisby no.40,n/a,n/a,n/a,restaurante,pereira,829282,371
pasteleria lucerna,n/a,n/a,n/a,restaurante,pereira,829315,375
kokoriko pereira el lago,n/a,n/a,n/a,restaurante,pereira,934127,454
frisby q48,n/a,n/a,n/a,restaurante,pereira,1115821,402
frisby arboleda,n/a,n/a,n/a,restaurante,pereira,1147179,129
don jediondo sopitas y parrilla s a s,n/a,n/a,n/a,restaurante,pereira,948032,328
mc donald`s circunvalar pereira,n/a,n/a,n/a,restaurante,pereira,957999,590
mc donald`s arboleda,n/a,n/a,n/a,restaurante,pereira,805015,393
archie`s arboleda,n/a,n/a,n/a,bar y restaurante,pereira,1079735,124
hamburguesas el corral sucursal parque arboleda,n/a,n/a,n/a,restaurante,pereira,816912,244
frisby no.44,n/a,n/a,n/a,restaurante,pereira,918182,340
frisby no.1,n/a,n/a,n/a,restaurante,pereira,961349,190
pizzas piccolo circunvalar,n/a,n/a,n/a,restaurante,pereira,844329,413
g grajales autoservicio plaza bolivar,n/a,n/a,n/a,restaurante,pereira,916816,200
g. grajales autoservicios principal,n/a,n/a,n/a,restaurante,pereira,982347,538
presto pei unicentro,n/a,n/a,n/a,restaurante,pereira,920315,517
restaurante bar brisas del rio apia,n/a,n/a,n/a,restaurante,pereira,1027179,169
mc donald`s circunvalar pereira,n/a,n/a,n/a,restaurante de comida rapida,pereira,1056865,718
mc donald`s arboleda,n/a,n/a,n/a,restaurante de comida rapida,pereira,1013551,1037
restaurante bar brisas del rio apia,n/a,n/a,n/a,restaurante,pereira,803338,388
hamburguesas el corral sucursal parque arboleda,n/a,n/a,n/a,restaurante,pereira,1164518,243
frisby g83,n/a,n/a,n/a,restaurante,pereira,1088867,374
sayonara n. 6 arboleda,n/a,n/a,n/a,restaurante de autoservicio,pereira,897983,116
sayonara no. 4 pereira plaza,n/a,n/a,n/a,restaurante de autoservicio,pereira,1085296,137
frisby g90,n/a,n/a,n/a,restaurante,pereira,1109980,221
sayonara no. 3 victoria,n/a,n/a,n/a,restaurante de comida rapida,pereira,1114253,609
pasteleria lucerna unicentro,n/a,n/a,n/a,restaurante,pereira,1169721,271
frisby no.40,n/a,n/a,n/a,restaurante,pereira,818647,131
pasteleria lucerna,n/a,n/a,n/a,restaurante,pereira,1128592,244
wingz,n/a,n/a,n/a,restaurante,pereira,994113,521
kokoriko pereira el lago,n/a,n/a,n/a,restaurante,pereira,961719,137
frisby q48,n/a,n/a,n/a,restaurante de autoservicio,pereira,943881,103
frisby arboleda,n/a,n/a,n/a,restaurante de autoservicio,pereira,1107426,148
don jediondo sopitas y parrilla s a s,n/a,n/a,n/a,restaurante,pereira,1184920,426
frisby no.44,n/a,n/a,n/a,restaurante,pereira,1037968,537
frisby no.1,n/a,n/a,n/a,restaurante,pereira,1091427,146
pizzas piccolo circunvalar,n/a,n/a,n/a,restaurante,pereira,811774,182
g grajales autoservicio plaza bolivar,n/a,n/a,n/a,restaurante de autoservicio,pereira,1085570,144
g. grajales autoservicios principal,n/a,n/a,n/a,restaurante de autoservicio,pereira,1005859,127
restaurante campestre delicias del tomine,3112684481,fernado.diaz12x@gmail.com,tomine de indios,restaurante,guatavita,1112635,372
epa pues!,3103193204,gracielavasquez@hotmail.com,chaleche,restaurante,guatavita,960519,105
casa garcia,3104857380,eventoscasagarcia@gmail.com,montecillo,restaurante,guatavita,802629,489
el fogon dorado,3125927905,N/A,centro,restaurante,guatavita,1167025,512
el dorado,32124277564,restauranteeldoradoguatavita@gmail.com,centro,restaurante,guatavita,1010239,143
restaurante hosteria de guatavita,8577372,mapo2005@hotmail.com,cra 7 # 4-08,restaurante,guatavita,1001226,241
restaurante posada del tomine,8577165,juan.2608@hotmail.com,cra 7#5-22,restaurante,guatavita,968501,459
luna y sol guatavita,3102209252,0704daniela@gmai.com,cra 1 no. 3-06,restaurante,guatavita,850638,455
benigno mirador,3107868844,benignomirador@hotmail.com,km 1 via guatavita guasca,restaurante,guatavita,1060867,435
"donde yeison ""comidas rapidas""",3108110741,VALEJA27@HOTMAIL.COM,cra 1 no. 5- 31,restaurante,guatavita,1066602,548
el rincon marino,3114439007,orlandopiedra69@gmail.com,centro plaza civica,restaurante,guatavita,1007061,105
restaurante campestre,3174757042,N/A,vereda santa maria,restaurante,guatavita,895430,280
restaurante la cacica,3204862847,N/A,cra 7 no. 3-01,restaurante,guatavita,995164,430
kiosko fritanga,3124828014,maryluzvg@hotmail.com,plaza del sol,restaurante,guatavita,818196,207
pizza niz,3112832138,pizzanizj2871@gmail.com,cra 1 no. 2-07,restaurante,guatavita,863247,192
marina de guatavita,8577009,N/A,vereda chaleche,restaurante,guatavita,997126,361
el mecato,8577217,elmecatoguatavita@gmail.com,calle del dragon,restaurante,guatavita,1080335,468
restaurante la avenida,8577114,N/A,calle 6 no. 1-66,restaurante,guatavita,879738,323
asadero donde evita,8577062,N/A,cra 1 no. 1-306,restaurante,guatavita,893823,542
restaurante bar renato,3203717096,denisrena92@hotmail.com,cra 1 no 1- 9,restaurante,guatavita,833495,452
restaurante bar renato,3103419109,denisrena92@hotmail.com,kra 1 no. 5- 19,restaurante,guatavita,965163,392
restaurante san gabriel,8577213,N/A,calle 1 no. 6-63,restaurante,guatavita,1100405,543
restaurante el tomine,3112642330,rozoramoscarolina@gmail.com,centro,restaurante,guatavita,1175688,351
restaurante republica de tomine,3112025370,republicadetomine@gmail.com,vereda chaleche,restaurante,guatavita,986789,494
los pinos,3123791661,restaurantelospinos@gmail.com,vereda chaleche,restaurante,guatavita,1173899,308
superbroaster grilled,3102456810,azugad21@yahoo.es,cra 1 no 1-246,restaurante,guatavita,824259,275
la cava restaurante,3176466495,lacavaguatava@gmail.com,"diagonal 1 no 5a 17, barrio bellavista",restaurante,guatavita,818630,412
restaurante y piqueteadero entre plantas,3144634909,N/A,cra 1 calle 2,restaurante,guatavita,1131748,206
burger dinner,3203366051,bryanpalacino@gmail.com,cra 1 con calle 9,restaurante,guatavita,825043,600
restaurante el trapiche,3102860797,N/A,n/a,restaurante,guatavita,854104,391
restaurante pollo a la mesa,3208229429,jorgeegrazon.16@gmail.com,cra 1 no 13-00,restaurante,guatavita,907103,481
la casita de la lechona,3223623998,miltonjp@gmail69.com,cra 1 no 2-50,restaurante,guatavita,905658,405
restaurante origenes gourmet,3107526713,paos0305@hotmail.com,calle 8- cra 6 plaza cultural,restaurante,guatavita,1139735,262
kaju,3229473551,luaalba.114@gmail.com,cra. 1 #6-121 a 6-1,restaurante,guatavita,1071081,418
casa san martin,3133130771,N/A,n/a,restaurante,guatavita,931041,282
restaurante club la marina,3112455319,lilik-garzonk@hotmail.com,perimetro 15via sesquile-guatavita vereda chaleche,restaurante,guatavita,856067,166
el bar el molino,3203717096,denisrena92@hotmail.com,cra1 n 1 09,restaurante,guatavita,940258,363
restaurante bar renato,n/a,marthaluna574@gmail.com,cra 1 n 5 -19,restaurante,guatavita,1139477,364
restaurante benigno mirador,3115375287,benignomirador@hotmail.com,kilometro 1 via guatavita - guasca,restaurante,guatavita,1014571,152
restaurante  mirador los molinos,3105544676,estelagarzonmartin@gmail.com,vda montecillo alto finca la lomita,restaurante,guatavita,954893,207
